County Name,Bachelors,Total,High school,Bachelors
1,2815.54,21658,18842.46,2815.54
2,3620.98,16459,15142.28,3620.98
3,8411.76,46732,42058.8,8411.76
4,4399.88,15172,14413.4,4399.88
5,74477.76,265992,242052.72,74477.76
6,2488.32,13824,12718.08,2488.32
7,2973.69,15651,14398.92,2973.69
8,14691.69,50661,47114.73,14691.69
9,12010.85,63215,58157.8,12010.85
10,4317.84,35982,29505.24,4317.84
11,13403.71,58277,54197.61,13403.71
12,2687.04,16794,15114.6,2687.04
13,253329.02,516998,491148.1,253329.02
14,14764.96,92281,82130.09,14764.96
15,8821.36,28456,26748.64,8821.36
16,10270.19,44653,41973.82,10270.19
17,12010.41,44483,41369.19,12010.41
18,31167.4,100540,93502.2,31167.4
19,802.8,4460,4147.8,802.8
20,23320.22,106001,97520.92,23320.22
21,1321.88,9442,8214.54,1321.88
22,10889.97,51857,47189.87,10889.97
23,8711.25,37875,34845,8711.25
24,3562.92,19794,17616.66,3562.92
25,5525.29,24023,22341.39,5525.29
26,1190.2,5951,5534.43,1190.2
27,2935.52,20968,18451.84,2935.52
28,21417.84,89241,81209.31,21417.84
29,3555.63,27351,23521.86,3555.63
30,46504.5,186018,167416.2,46504.5
31,3576.29,21037,19354.04,3576.29
32,38405.07,116379,110560.05,38405.07
33,3124.44,17358,15622.2,3124.44
34,3248.16,20301,18270.9,3248.16
35,4653.28,29083,26174.7,4653.28
36,16801.4,84007,76446.37,16801.4
37,32893.2,137055,124720.05,32893.2
38,6340.65,42271,38466.61,6340.65
39,2211.3,15795,14057.55,2211.3
40,749.7,4410,3924.9,749.7
41,322132.2,1073774,934183.38,322132.2
42,8340.12,46334,41700.6,8340.12
43,6108.64,38179,34361.1,6108.64
44,9459.58,36383,33472.36,9459.58
45,51255.12,183054,172070.76,51255.12
46,41524.97,88351,84816.96,41524.97
47,1357.38,7541,6862.31,1357.38
48,11659.76,41642,39559.9,11659.76
49,8972.2,44861,41720.73,8972.2
50,21561.6,71872,66840.96,21561.6
51,2289.92,14312,12880.8,2289.92
52,52308.96,217954,193979.06,52308.96
53,3308.58,18381,16359.09,3308.58
54,36215.55,172455,153484.95,36215.55
55,2239.2,14928,13136.64,2239.2
56,28392.21,86037,78293.67,28392.21
57,14223.22,64651,58832.41,14223.22
58,3701.5,16825,15310.75,3701.5
59,6856.64,42854,39425.68,6856.64
60,29240.64,121836,116962.56,29240.64
61,2940.7,21005,18484.4,2940.7
62,5791.77,30483,27129.87,5791.77
63,6335.07,30167,26546.96,6335.07
64,5858.46,21698,20179.14,5858.46
65,31585.68,112806,102653.46,31585.68
66,3546.18,16119,14829.48,3546.18
67,39228.88,135272,127155.68,39228.88
68,170525.88,406014,389773.44,170525.88
69,9669.06,53717,48882.47,9669.06
70,3873.75,25825,22209.5,3873.75
71,46650.06,172778,158955.76,46650.06
72,15285.8,76429,70314.68,15285.8
73,15285.8,76429,70314.68,15285.8
74,15285.8,76429,70314.68,15285.8
75,15285.8,76429,70314.68,15285.8
76,15285.8,76429,70314.68,15285.8
77,15285.8,76429,70314.68,15285.8
78,15285.8,76429,70314.68,15285.8
79,15285.8,76429,70314.68,15285.8
80,15285.8,76429,70314.68,15285.8
81,15285.8,76429,70314.68,15285.8
82,15285.8,76429,70314.68,15285.8
83,15285.8,76429,70314.68,15285.8
84,15285.8,76429,70314.68,15285.8
85,15285.8,76429,70314.68,15285.8
86,15285.8,76429,70314.68,15285.8
87,15285.8,76429,70314.68,15285.8
88,15285.8,76429,70314.68,15285.8
89,15285.8,76429,70314.68,15285.8
90,15285.8,76429,70314.68,15285.8
91,15285.8,76429,70314.68,15285.8
92,15285.8,76429,70314.68,15285.8
93,15285.8,76429,70314.68,15285.8
94,15285.8,76429,70314.68,15285.8
95,15285.8,76429,70314.68,15285.8
96,15285.8,76429,70314.68,15285.8
97,15285.8,76429,70314.68,15285.8
98,15285.8,76429,70314.68,15285.8
99,15285.8,76429,70314.68,15285.8
100,15285.8,76429,70314.68,15285.8
101,15285.8,76429,70314.68,15285.8
102,15285.8,76429,70314.68,15285.8
103,15285.8,76429,70314.68,15285.8
104,15285.8,76429,70314.68,15285.8
105,15285.8,76429,70314.68,15285.8
106,15285.8,76429,70314.68,15285.8
107,15285.8,76429,70314.68,15285.8
108,15285.8,76429,70314.68,15285.8
109,15285.8,76429,70314.68,15285.8
110,15285.8,76429,70314.68,15285.8
111,15285.8,76429,70314.68,15285.8
112,15285.8,76429,70314.68,15285.8
113,15285.8,76429,70314.68,15285.8
114,15285.8,76429,70314.68,15285.8
115,15285.8,76429,70314.68,15285.8
