County Name,Voters,Total,total,voting
1,17454,20875,20875,17454
2,12413,16157,16157,12413
3,35720,45870,45870,35720
4,12161,15014,15014,12161
5,186184,248007,248007,186184
6,10566,13587,13587,10566
7,12375,15457,15457,12375
8,35733,48971,48971,35733
9,47706,62415,62415,47706
10,24599,34690,34690,24599
11,43566,56833,56833,43566
12,12920,16644,16644,12920
13,381989,488073,488073,381989
14,69180,88759,88759,69180
15,22709,27785,27785,22709
16,34694,44159,44159,34694
17,34798,43857,43857,34798
18,77867,98736,98736,77867
19,3649,4423,4423,3649
20,78589,101633,101633,78589
21,7261,9304,9304,7261
22,40322,51208,51208,40322
23,27889,36842,36842,27889
24,14663,19051,19051,14663
25,17798,23687,23687,17798
26,4935,5916,5916,4935
27,15818,20449,20449,15818
28,63829,83686,83686,63829
29,20991,26664,26664,20991
30,123597,166426,166426,123597
31,15725,20574,20574,15725
32,90176,114638,114638,90176
33,12487,16836,16836,12487
34,15762,19977,19977,15762
35,22441,28743,28743,22441
36,63232,81442,81442,63232
37,101194,134063,134063,101194
38,33182,41749,41749,33182
39,12319,15404,15404,12319
40,2853,4232,4232,2853
41,711358,947735,947735,711358
42,33003,44673,44673,33003
43,29228,37660,37660,29228
44,29359,35998,35998,29359
45,132271,176695,176695,132271
46,66023,86395,86395,66023
47,5765,7469,7469,5765
48,31860,41019,41019,31860
49,33705,44205,44205,33705
50,55472,70019,70019,55472
51,11460,14159,14159,11460
52,146898,195408,195408,146898
53,13821,18021,18021,13821
54,120148,160331,160331,120148
55,11440,14755,14755,11440
56,61462,84345,84345,61462
57,47209,61976,61976,47209
58,13103,16557,16557,13103
59,32387,41949,41949,32387
60,87925,115507,115507,87925
61,15600,20689,20689,15600
62,21831,28816,28816,21831
63,21895,29773,29773,21895
64,17621,21430,21430,17621
65,78219,102228,102228,78219
66,12679,15911,15911,12679
67,99510,131887,131887,99510
68,296081,389891,389891,296081
69,40540,52410,52410,40540
70,19662,24496,24496,19662
71,130862,166994,166994,130862
72,57745,74749,74749,57745
73,57745,74749,74749,57745
74,57745,74749,74749,57745
75,57745,74749,74749,57745
76,57745,74749,74749,57745
77,57745,74749,74749,57745
78,57745,74749,74749,57745
79,57745,74749,74749,57745
80,57745,74749,74749,57745
81,57745,74749,74749,57745
82,57745,74749,74749,57745
83,57745,74749,74749,57745
84,57745,74749,74749,57745
85,57745,74749,74749,57745
86,57745,74749,74749,57745
87,57745,74749,74749,57745
88,57745,74749,74749,57745
89,57745,74749,74749,57745
90,57745,74749,74749,57745
91,57745,74749,74749,57745
92,57745,74749,74749,57745
93,57745,74749,74749,57745
94,57745,74749,74749,57745
95,57745,74749,74749,57745
96,57745,74749,74749,57745
97,57745,74749,74749,57745
98,57745,74749,74749,57745
99,57745,74749,74749,57745
100,57745,74749,74749,57745
101,57745,74749,74749,57745
102,57745,74749,74749,57745
103,57745,74749,74749,57745
104,57745,74749,74749,57745
105,57745,74749,74749,57745
106,57745,74749,74749,57745
107,57745,74749,74749,57745
108,57745,74749,74749,57745
109,57745,74749,74749,57745
110,57745,74749,74749,57745
111,57745,74749,74749,57745
112,57745,74749,74749,57745
113,57745,74749,74749,57745
114,57745,74749,74749,57745
115,57745,74749,74749,57745
116,57745,74749,74749,57745
117,57745,74749,74749,57745
118,57745,74749,74749,57745
119,57745,74749,74749,57745
120,57745,74749,74749,57745
121,57745,74749,74749,57745
122,57745,74749,74749,57745
123,57745,74749,74749,57745
124,57745,74749,74749,57745
125,57745,74749,74749,57745
126,57745,74749,74749,57745
127,57745,74749,74749,57745
128,57745,74749,74749,57745
129,57745,74749,74749,57745
130,57745,74749,74749,57745
131,57745,74749,74749,57745
132,57745,74749,74749,57745
133,57745,74749,74749,57745
134,57745,74749,74749,57745
135,57745,74749,74749,57745
136,57745,74749,74749,57745
137,57745,74749,74749,57745
138,57745,74749,74749,57745
139,57745,74749,74749,57745
140,57745,74749,74749,57745
141,57745,74749,74749,57745
142,57745,74749,74749,57745
143,57745,74749,74749,57745
144,57745,74749,74749,57745
145,57745,74749,74749,57745
146,57745,74749,74749,57745
147,57745,74749,74749,57745
148,57745,74749,74749,57745
149,57745,74749,74749,57745
150,57745,74749,74749,57745
151,57745,74749,74749,57745
152,57745,74749,74749,57745
153,57745,74749,74749,57745
154,57745,74749,74749,57745
155,57745,74749,74749,57745
156,57745,74749,74749,57745
157,57745,74749,74749,57745
158,57745,74749,74749,57745
159,57745,74749,74749,57745
160,57745,74749,74749,57745
161,57745,74749,74749,57745
162,57745,74749,74749,57745
163,57745,74749,74749,57745
164,57745,74749,74749,57745
165,57745,74749,74749,57745
166,57745,74749,74749,57745
167,57745,74749,74749,57745
168,57745,74749,74749,57745
169,57745,74749,74749,57745
170,57745,74749,74749,57745
171,57745,74749,74749,57745
172,57745,74749,74749,57745
173,57745,74749,74749,57745
174,57745,74749,74749,57745
175,57745,74749,74749,57745
176,57745,74749,74749,57745
177,57745,74749,74749,57745
178,57745,74749,74749,57745
179,57745,74749,74749,57745
180,57745,74749,74749,57745
181,57745,74749,74749,57745
182,57745,74749,74749,57745
183,57745,74749,74749,57745
184,57745,74749,74749,57745
185,57745,74749,74749,57745
186,57745,74749,74749,57745
187,57745,74749,74749,57745
188,57745,74749,74749,57745
189,57745,74749,74749,57745
190,57745,74749,74749,57745
191,57745,74749,74749,57745
192,57745,74749,74749,57745
193,57745,74749,74749,57745
194,57745,74749,74749,57745
195,57745,74749,74749,57745
196,57745,74749,74749,57745
197,57745,74749,74749,57745
198,57745,74749,74749,57745
199,57745,74749,74749,57745
200,57745,74749,74749,57745
201,57745,74749,74749,57745
202,57745,74749,74749,57745
203,57745,74749,74749,57745
204,57745,74749,74749,57745
205,57745,74749,74749,57745
206,57745,74749,74749,57745
207,57745,74749,74749,57745
208,57745,74749,74749,57745
209,57745,74749,74749,57745
210,57745,74749,74749,57745
211,57745,74749,74749,57745
212,57745,74749,74749,57745
213,57745,74749,74749,57745
214,57745,74749,74749,57745
215,57745,74749,74749,57745
216,57745,74749,74749,57745
217,57745,74749,74749,57745
218,57745,74749,74749,57745
219,57745,74749,74749,57745
220,57745,74749,74749,57745
221,57745,74749,74749,57745
222,57745,74749,74749,57745
223,57745,74749,74749,57745
224,57745,74749,74749,57745
225,57745,74749,74749,57745
