County Name,Democrat,Total,democrat,republican
1,8013,21658,8013,12778
2,8723,16459,8723,6748
3,16356,46732,16356,28039
4,7889,15172,7889,6523
5,109056,265992,109056,138315
6,4976,13824,4976,8017
7,5321,15651,5321,9703
8,18237,50661,18237,29383
9,24021,63215,24021,36032
10,11154,35982,11154,22668
11,26807,58277,26807,27972
12,7389,16794,7389,8397
13,361898,516998,361898,118909
14,29529,92281,29529,57214
15,13089,28456,13089,13943
16,22326,44653,22326,19200
17,18238,44483,18238,23131
18,50270,100540,50270,42226
19,1115,4460,1115,3166
20,36040,106001,36040,63600
21,3304,9442,3304,5759
22,21261,51857,21261,26447
23,18180,37875,18180,17422
24,5740,19794,5740,13064
25,12972,24023,12972,9368
26,2142,5951,2142,3511
27,8596,20968,8596,11113
28,33911,89241,33911,48190
29,9572,27351,9572,16684
30,87428,186018,87428,87428
31,7152,21037,7152,12832
32,59353,116379,59353,47715
33,7463,17358,7463,9026
34,6496,20301,6496,12992
35,10760,29083,10760,16577
36,30242,84007,30242,47883
37,52080,137055,52080,76750
38,13526,42271,13526,27476
39,5686,15795,5686,9477
40,3395,4410,3395,882
41,697953,1073774,697953,311394
42,16680,46334,16680,26873
43,11071,38179,11071,25198
44,13825,36383,13825,20374
45,75052,183054,75052,97018
46,32689,88351,32689,49476
47,2714,7541,2714,4449
48,16240,41642,16240,22070
49,14804,44861,14804,27365
50,34498,71872,34498,32342
51,5009,14312,5009,8587
52,98079,217954,98079,108977
53,8087,18381,8087,9190
54,89676,172455,89676,70706
55,4627,14928,4627,9553
56,40437,86037,40437,40437
57,24567,64651,24567,36851
58,5215,16825,5215,10768
59,16284,42854,16284,23141
60,45079,121836,45079,67009
61,5251,21005,5251,14493
62,12498,30483,12498,16460
63,13575,30167,13575,14781
64,7594,21698,7594,13018
65,40610,112806,40610,63171
66,5802,16119,5802,9510
67,36523,135272,36523,90632
68,133984,406014,133984,243608
69,17189,53717,17189,33304
70,8005,25825,8005,16528
71,74294,172778,74294,86389
72,29043,76429,29043,43564
73,29043,76429,29043,43564
74,29043,76429,29043,43564
75,29043,76429,29043,43564
76,29043,76429,29043,43564
77,29043,76429,29043,43564
78,29043,76429,29043,43564
79,29043,76429,29043,43564
80,29043,76429,29043,43564
81,29043,76429,29043,43564
82,29043,76429,29043,43564
83,29043,76429,29043,43564
84,29043,76429,29043,43564
85,29043,76429,29043,43564
86,29043,76429,29043,43564
87,29043,76429,29043,43564
88,29043,76429,29043,43564
89,29043,76429,29043,43564
90,29043,76429,29043,43564
91,29043,76429,29043,43564
92,29043,76429,29043,43564
93,29043,76429,29043,43564
94,29043,76429,29043,43564
95,29043,76429,29043,43564
96,29043,76429,29043,43564
97,29043,76429,29043,43564
98,29043,76429,29043,43564
99,29043,76429,29043,43564
100,29043,76429,29043,43564
101,29043,76429,29043,43564
102,29043,76429,29043,43564
103,29043,76429,29043,43564
104,29043,76429,29043,43564
105,29043,76429,29043,43564
106,29043,76429,29043,43564
107,29043,76429,29043,43564
108,29043,76429,29043,43564
109,29043,76429,29043,43564
110,29043,76429,29043,43564
111,29043,76429,29043,43564
112,29043,76429,29043,43564
113,29043,76429,29043,43564
114,29043,76429,29043,43564
115,29043,76429,29043,43564
116,29043,76429,29043,43564
117,29043,76429,29043,43564
118,29043,76429,29043,43564
119,29043,76429,29043,43564
120,29043,76429,29043,43564
121,29043,76429,29043,43564
122,29043,76429,29043,43564
123,29043,76429,29043,43564
124,29043,76429,29043,43564
125,29043,76429,29043,43564
126,29043,76429,29043,43564
127,29043,76429,29043,43564
128,29043,76429,29043,43564
129,29043,76429,29043,43564
130,29043,76429,29043,43564
131,29043,76429,29043,43564
132,29043,76429,29043,43564
133,29043,76429,29043,43564
134,29043,76429,29043,43564
135,29043,76429,29043,43564
136,29043,76429,29043,43564
137,29043,76429,29043,43564
138,29043,76429,29043,43564
139,29043,76429,29043,43564
140,29043,76429,29043,43564
141,29043,76429,29043,43564
142,29043,76429,29043,43564
143,29043,76429,29043,43564
144,29043,76429,29043,43564
145,29043,76429,29043,43564
146,29043,76429,29043,43564
147,29043,76429,29043,43564
148,29043,76429,29043,43564
149,29043,76429,29043,43564
150,29043,76429,29043,43564
151,29043,76429,29043,43564
152,29043,76429,29043,43564
153,29043,76429,29043,43564
154,29043,76429,29043,43564
155,29043,76429,29043,43564
156,29043,76429,29043,43564
157,29043,76429,29043,43564
158,29043,76429,29043,43564
159,29043,76429,29043,43564
160,29043,76429,29043,43564
161,29043,76429,29043,43564
162,29043,76429,29043,43564
163,29043,76429,29043,43564
164,29043,76429,29043,43564
165,29043,76429,29043,43564
166,29043,76429,29043,43564
167,29043,76429,29043,43564
168,29043,76429,29043,43564
169,29043,76429,29043,43564
170,29043,76429,29043,43564
171,29043,76429,29043,43564
172,29043,76429,29043,43564
173,29043,76429,29043,43564
174,29043,76429,29043,43564
175,29043,76429,29043,43564
176,29043,76429,29043,43564
177,29043,76429,29043,43564
178,29043,76429,29043,43564
179,29043,76429,29043,43564
180,29043,76429,29043,43564
181,29043,76429,29043,43564
182,29043,76429,29043,43564
183,29043,76429,29043,43564
184,29043,76429,29043,43564
185,29043,76429,29043,43564
186,29043,76429,29043,43564
187,29043,76429,29043,43564
188,29043,76429,29043,43564
189,29043,76429,29043,43564
190,29043,76429,29043,43564
191,29043,76429,29043,43564
192,29043,76429,29043,43564
193,29043,76429,29043,43564
194,29043,76429,29043,43564
195,29043,76429,29043,43564
196,29043,76429,29043,43564
197,29043,76429,29043,43564
198,29043,76429,29043,43564
199,29043,76429,29043,43564
200,29043,76429,29043,43564
201,29043,76429,29043,43564
202,29043,76429,29043,43564
203,29043,76429,29043,43564
204,29043,76429,29043,43564
205,29043,76429,29043,43564
206,29043,76429,29043,43564
207,29043,76429,29043,43564
208,29043,76429,29043,43564
209,29043,76429,29043,43564
210,29043,76429,29043,43564
211,29043,76429,29043,43564
212,29043,76429,29043,43564
213,29043,76429,29043,43564
214,29043,76429,29043,43564
215,29043,76429,29043,43564
216,29043,76429,29043,43564
217,29043,76429,29043,43564
218,29043,76429,29043,43564
219,29043,76429,29043,43564
220,29043,76429,29043,43564
221,29043,76429,29043,43564
222,29043,76429,29043,43564
223,29043,76429,29043,43564
224,29043,76429,29043,43564
225,29043,76429,29043,43564
226,29043,76429,29043,43564
227,29043,76429,29043,43564
228,29043,76429,29043,43564
229,29043,76429,29043,43564
230,29043,76429,29043,43564
231,29043,76429,29043,43564
232,29043,76429,29043,43564
233,29043,76429,29043,43564
234,29043,76429,29043,43564
235,29043,76429,29043,43564
236,29043,76429,29043,43564
237,29043,76429,29043,43564
238,29043,76429,29043,43564
239,29043,76429,29043,43564
240,29043,76429,29043,43564
241,29043,76429,29043,43564
242,29043,76429,29043,43564
243,29043,76429,29043,43564
244,29043,76429,29043,43564
245,29043,76429,29043,43564
246,29043,76429,29043,43564
247,29043,76429,29043,43564
248,29043,76429,29043,43564
249,29043,76429,29043,43564
250,29043,76429,29043,43564
251,29043,76429,29043,43564
252,29043,76429,29043,43564
253,29043,76429,29043,43564
254,29043,76429,29043,43564
255,29043,76429,29043,43564
256,29043,76429,29043,43564
257,29043,76429,29043,43564
258,29043,76429,29043,43564
259,29043,76429,29043,43564
260,29043,76429,29043,43564
261,29043,76429,29043,43564
262,29043,76429,29043,43564
263,29043,76429,29043,43564
264,29043,76429,29043,43564
265,29043,76429,29043,43564
266,29043,76429,29043,43564
267,29043,76429,29043,43564
268,29043,76429,29043,43564
269,29043,76429,29043,43564
270,29043,76429,29043,43564
271,29043,76429,29043,43564
272,29043,76429,29043,43564
273,29043,76429,29043,43564
274,29043,76429,29043,43564
275,29043,76429,29043,43564
276,29043,76429,29043,43564
277,29043,76429,29043,43564
278,29043,76429,29043,43564
279,29043,76429,29043,43564
280,29043,76429,29043,43564
281,29043,76429,29043,43564
282,29043,76429,29043,43564
283,29043,76429,29043,43564
284,29043,76429,29043,43564
285,29043,76429,29043,43564
286,29043,76429,29043,43564
287,29043,76429,29043,43564
288,29043,76429,29043,43564
289,29043,76429,29043,43564
290,29043,76429,29043,43564
291,29043,76429,29043,43564
292,29043,76429,29043,43564
293,29043,76429,29043,43564
294,29043,76429,29043,43564
295,29043,76429,29043,43564
296,29043,76429,29043,43564
297,29043,76429,29043,43564
298,29043,76429,29043,43564
299,29043,76429,29043,43564
300,29043,76429,29043,43564
301,29043,76429,29043,43564
302,29043,76429,29043,43564
303,29043,76429,29043,43564
304,29043,76429,29043,43564
305,29043,76429,29043,43564
306,29043,76429,29043,43564
307,29043,76429,29043,43564
308,29043,76429,29043,43564
309,29043,76429,29043,43564
310,29043,76429,29043,43564
311,29043,76429,29043,43564
312,29043,76429,29043,43564
313,29043,76429,29043,43564
314,29043,76429,29043,43564
315,29043,76429,29043,43564
316,29043,76429,29043,43564
317,29043,76429,29043,43564
318,29043,76429,29043,43564
319,29043,76429,29043,43564
320,29043,76429,29043,43564
321,29043,76429,29043,43564
322,29043,76429,29043,43564
323,29043,76429,29043,43564
324,29043,76429,29043,43564
325,29043,76429,29043,43564
326,29043,76429,29043,43564
327,29043,76429,29043,43564
328,29043,76429,29043,43564
329,29043,76429,29043,43564
330,29043,76429,29043,43564
331,29043,76429,29043,43564
332,29043,76429,29043,43564
333,29043,76429,29043,43564
334,29043,76429,29043,43564
335,29043,76429,29043,43564
336,29043,76429,29043,43564
337,29043,76429,29043,43564
338,29043,76429,29043,43564
339,29043,76429,29043,43564
340,29043,76429,29043,43564
341,29043,76429,29043,43564
342,29043,76429,29043,43564
343,29043,76429,29043,43564
344,29043,76429,29043,43564
345,29043,76429,29043,43564
346,29043,76429,29043,43564
347,29043,76429,29043,43564
348,29043,76429,29043,43564
349,29043,76429,29043,43564
350,29043,76429,29043,43564
351,29043,76429,29043,43564
352,29043,76429,29043,43564
353,29043,76429,29043,43564
354,29043,76429,29043,43564
355,29043,76429,29043,43564
356,29043,76429,29043,43564
357,29043,76429,29043,43564
358,29043,76429,29043,43564
359,29043,76429,29043,43564
360,29043,76429,29043,43564
361,29043,76429,29043,43564
362,29043,76429,29043,43564
363,29043,76429,29043,43564
364,29043,76429,29043,43564
365,29043,76429,29043,43564
366,29043,76429,29043,43564
367,29043,76429,29043,43564
368,29043,76429,29043,43564
369,29043,76429,29043,43564
370,29043,76429,29043,43564
371,29043,76429,29043,43564
372,29043,76429,29043,43564
373,29043,76429,29043,43564
374,29043,76429,29043,43564
375,29043,76429,29043,43564
376,29043,76429,29043,43564
377,29043,76429,29043,43564
378,29043,76429,29043,43564
379,29043,76429,29043,43564
380,29043,76429,29043,43564
381,29043,76429,29043,43564
382,29043,76429,29043,43564
383,29043,76429,29043,43564
384,29043,76429,29043,43564
385,29043,76429,29043,43564
386,29043,76429,29043,43564
387,29043,76429,29043,43564
388,29043,76429,29043,43564
389,29043,76429,29043,43564
390,29043,76429,29043,43564
391,29043,76429,29043,43564
392,29043,76429,29043,43564
393,29043,76429,29043,43564
394,29043,76429,29043,43564
395,29043,76429,29043,43564
396,29043,76429,29043,43564
397,29043,76429,29043,43564
398,29043,76429,29043,43564
399,29043,76429,29043,43564
400,29043,76429,29043,43564
401,29043,76429,29043,43564
402,29043,76429,29043,43564
403,29043,76429,29043,43564
404,29043,76429,29043,43564
405,29043,76429,29043,43564
406,29043,76429,29043,43564
407,29043,76429,29043,43564
408,29043,76429,29043,43564
409,29043,76429,29043,43564
410,29043,76429,29043,43564
411,29043,76429,29043,43564
412,29043,76429,29043,43564
413,29043,76429,29043,43564
414,29043,76429,29043,43564
415,29043,76429,29043,43564
416,29043,76429,29043,43564
417,29043,76429,29043,43564
418,29043,76429,29043,43564
419,29043,76429,29043,43564
420,29043,76429,29043,43564
421,29043,76429,29043,43564
422,29043,76429,29043,43564
423,29043,76429,29043,43564
424,29043,76429,29043,43564
425,29043,76429,29043,43564
426,29043,76429,29043,43564
427,29043,76429,29043,43564
428,29043,76429,29043,43564
429,29043,76429,29043,43564
430,29043,76429,29043,43564
431,29043,76429,29043,43564
432,29043,76429,29043,43564
433,29043,76429,29043,43564
434,29043,76429,29043,43564
435,29043,76429,29043,43564
436,29043,76429,29043,43564
437,29043,76429,29043,43564
438,29043,76429,29043,43564
439,29043,76429,29043,43564
440,29043,76429,29043,43564
441,29043,76429,29043,43564
442,29043,76429,29043,43564
443,29043,76429,29043,43564
444,29043,76429,29043,43564
445,29043,76429,29043,43564
446,29043,76429,29043,43564
447,29043,76429,29043,43564
448,29043,76429,29043,43564
449,29043,76429,29043,43564
450,29043,76429,29043,43564
451,29043,76429,29043,43564
452,29043,76429,29043,43564
453,29043,76429,29043,43564
454,29043,76429,29043,43564
